Speaker_ID Gender Path
id10271 m ../data/voxceleb1_test/wav/id10271/1gtz-CUIygI/00006.wav
id10272 m ../data/voxceleb1_test/wav/id10272/dkN2DIBrXqQ/00008.wav
id10273 m ../data/voxceleb1_test/wav/id10273/8cfyJEV7hP8/00002.wav
id10275 m ../data/voxceleb1_test/wav/id10275/CVUXDNZzcmA/00002.wav
id10276 m ../data/voxceleb1_test/wav/id10276/5WOZXLMujwY/00003.wav
id10278 m ../data/voxceleb1_test/wav/id10278/d6WJf6TOoIQ/00007.wav
id10279 m ../data/voxceleb1_test/wav/id10279/4Q1IvdayPR8/00008.wav
id10280 f ../data/voxceleb1_test/wav/id10280/9AtE4C309P8/00013.wav
id10281 f ../data/voxceleb1_test/wav/id10281/eso-dEmfC_c/00005.wav
id10284 m ../data/voxceleb1_test/wav/id10284/EoCPhxtWUOc/00004.wav
id10285 f ../data/voxceleb1_test/wav/id10285/bd0jqkNxNdU/00001.wav
id10286 f ../data/voxceleb1_test/wav/id10286/0sETQ5nxvf8/00001.wav
id10287 f ../data/voxceleb1_test/wav/id10287/I99R40TUF1s/00013.wav
id10288 f ../data/voxceleb1_test/wav/id10288/dRr05CxK0jQ/00001.wav
id10289 f ../data/voxceleb1_test/wav/id10289/3g9CjhcNEWk/00004.wav
id10290 m ../data/voxceleb1_test/wav/id10290/0bA1AJCGEOo/00003.wav
id10299 f ../data/voxceleb1_test/wav/id10299/fUs5d-C3k5E/00002.wav
id10302 m ../data/voxceleb1_test/wav/id10302/K2_D_tFdAgY/00009.wav
id10303 f ../data/voxceleb1_test/wav/id10303/R5JGtwc4o1M/00002.wav
id10306 f ../data/voxceleb1_test/wav/id10306/2SaEbN8hYz4/00002.wav
